anime_id,title,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,producer,licensor,studio,genre,premiered year
2823,Barbapapa,TV,Picture book,45,Finished Airing,"Oct 13, 1974 to Sep 28, 1975",5 min. per ep.,PG - Children,6.18,746,6819.0,7267,1647,4,Fall 1974,KSS,,Topcraft,"Fantasy, Comedy",1974
30906,Malta no Bouken,TV,Unknown,12,Finished Airing,2014,5 min. per ep.,PG - Children,6.17,6,11196.0,13904,61,0,,,,,"Kids, Slice of Life",
3637,Bouken Yuuki Pluster World,TV,Original,52,Finished Airing,"Apr 3, 2003 to Mar 25, 2004",24 min. per ep.,G - All Ages,6.17,82,6847.0,9717,448,2,Spring 2003,TV Tokyo,,"Actas, Brain&#039;s Base","Action, Sci-Fi, Adventure, Shounen",2003
7750,DigiGirl Pop!: Strawberry & Pop Mix Flavor,TV,Unknown,26,Finished Airing,"Feb 17, 2003 to Aug 12, 2003",3 min. per ep.,PG - Children,6.17,23,9975.0,11041,218,3,Winter 2003,"GDH, HoriPro, Kids Station, Pioneer LDC",,Creators Dot Com,"Comedy, Sci-Fi",2003
2226,Mori no Tonto-tachi,TV,Unknown,23,Finished Airing,"Oct 5, 1984 to Mar 29, 1985",25 min. per ep.,G - All Ages,6.17,130,6877.0,10144,355,0,Fall 1984,Fuji TV,,"Nippon Animation, Shaft","Fantasy, Kids",1984
1093,Oishinbo,TV,Manga,136,Finished Airing,"Oct 17, 1988 to Mar 17, 1992",23 min. per ep.,PG-13 - Teens 13 or older,6.17,81,6883.0,8730,780,2,Fall 1988,TV Asahi,,Shin-Ei Animation,"Comedy, Slice of Life, Seinen",1988
23409,Duel Masters VS,TV,Original,49,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",24 min. per ep.,PG-13 - Teens 13 or older,6.17,109,6852.0,9241,588,0,Spring 2014,,,Ascension,"Action, Adventure, Comedy, Shounen",2014
4444,Zero Duel Masters,TV,Original,12,Finished Airing,"Apr 9, 2007 to Sep 28, 2007",23 min. per ep.,PG-13 - Teens 13 or older,6.17,579,6887.0,7369,1567,1,Spring 2007,Shogakukan Productions,,,"Adventure, Comedy, Game, Sports",2007
8011,Time Bokan Series: Gyakuten Ippatsuman,TV,Unknown,58,Finished Airing,"Feb 13, 1982 to Mar 26, 1983",24 min. per ep.,PG-13 - Teens 13 or older,6.17,92,6884.0,9559,491,0,Winter 1982,,,Tatsunoko Production,"Action, Comedy, Mecha, Sci-Fi",1982
3020,Gu-Gu Ganmo,TV,Manga,50,Finished Airing,"Mar 18, 1984 to Mar 17, 1985",25 min. per ep.,G - All Ages,6.17,95,6855.0,9990,385,1,Spring 1984,,,Toei Animation,"Comedy, School, Shounen, Slice of Life",1984
